,Mites,Diseases  ,Pesticides
Alabama,19.9,0.2,3.2
Arizona,35.6,3.8,1.7
Arkansas,31.5,0.1,0.5
California,37.7,7.5,9.2
Colorado,17,N/A,0.9
Connecticut,51.5,0,0
Florida,37.6,1.5,14.2
Georgia,35.3,0.2,2.6
Hawaii,1.2,0.2,0
Idaho,74.2,42.3,21.2
Illinois,21.2,0.5,3.7
Indiana,15.8,5.2,4.1
Iowa,33.6,8.4,12
Kansas,47.2,0,3.6
Kentucky,31.9,0.4,3.8
Louisiana,25.8,0.1,1.8
Maine,23.9,30.5,8.1
Maryland,11.3,1,1
Massachusetts,32.5,3,4.5
Michigan,7.9,0,1.9
Minnesota,2.1,0.1,0.9
Mississippi,41.7,N/A,0.1
Missouri,16.6,0.5,2.7
Montana,34,0,2.5
Nebraska,14.8,0.4,0
New Jersey,16.3,0.3,0.1
New Mexico,93.9,87.4,0
New York,20.4,9.8,4.4
North Carolina,34.7,0.2,1.5
North Dakota,0.8,0,0
Ohio,25.8,0.6,0.1
Oklahoma,11.9,0,0.1
Oregon,28.7,10.1,9.1
Pennsylvania,20.9,0.8,2.9
South Carolina,12.6,0.4,1.1
South Dakota,2.9,0,0
Tennessee,28.6,0.9,2.4
Texas,36.2,2,5.1
Utah,38.7,0.1,0
Vermont,6,2.1,0.2
Virginia,21.4,2.8,3.2
Washington,6.8,0,0
West Virginia,15.8,0.2,0
Wisconsin,19,1.1,2
Wyoming,0.2,0.2,0
Other States 4/,3.4,6.6,2.6
United States,42.2,7,8.9
,,,
N/A  Less than half of the unit shown.,,,
"1/ Tracheal mites, nosema, hive beetle, wax moths, etc.",,,
"2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc.",,,
"3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc.",,,
"4/ Alaska, Delaware, Nevada, New Hampshire, and Rhode Island not published separately to avoid disclosing data for individual operations.",,,
