State,Varroa Mites,Diseases,Pesticides
Alabama,27.2,1.8,0.3
Arizona,25.8,6.5,16.2
Arkansas,19.5,3.3,55.3
California,43.5,6.4,12.3
Colorado,11.2,-,-
Connecticut,10.1,-,-
Florida,46.9,5.5,22.9
Georgia,69.6,7.4,9.6
Hawaii,72.1,0.1,0.7
Idaho,24.5,8,9.2
Illinois,33.3,3.1,0.7
Indiana,15.6,2.6,5.5
Iowa,34.8,0.6,0.3
Kansas,102,2.5,12.2
Kentucky,21.6,0.1,5.3
Louisiana,57.8,0.1,0.3
Maine,2.3,-,-
Maryland,12.6,0.2,(Z)
Massachusetts,10.3,-,4.3
Michigan,18.2,1.5,0.2
Minnesota,1.3,1.9,-
Mississippi,14.6,64.8,48.4
Missouri,5.4,1.9,0.5
Montana,15.1,-,0.8
Nebraska,32.3,32,0.8
New Jersey,15.3,-,-
New Mexico,3.5,0.6,-
New York,10.6,1.7,1.7
North Carolina,16.4,0.2,0.7
North Dakota,6.9,-,6.5
Ohio,49.3,11.1,1.1
Oklahoma,7.7,-,-
Oregon,18,0.2,0.2
Pennsylvania,15.3,3.7,4
South Carolina,18.5,(Z),1.7
South Dakota,0.8,-,2.5
Tennessee,62.8,5.1,0.9
Texas,26.1,5.3,8.3
Utah,22.9,0.1,-
Vermont,6.2,2.4,-
Virginia,16.6,0.8,0.3
Washington,22.3,0.6,0.3
West Virginia,10.3,1.1,0.2
Wisconsin,15.9,0.7,1.1
Wyoming,0.7,0.1,-
Other States 4/,6.9,0.3,-
United States,45.6,7.1,13.6
,,,
"1/ Tracheal mites, nosema, hive beetle, wax moths, etc.",,,
"2/ Includes American and European foulbrood, chalkbrood, stonebrood, paralysis (acute and chronic), kashmir, deformed wing, sacbrood, IAPV, Lake Sinai II, etc.",,,
"3/ Includes weather, starvation, insufficient forage, queen failure, hive damage/destroyed, etc.",,,
4/ Includes data for States not published in this table.,,,
