I_mean,FIPS
None,11001
None,44001
None,44003
None,44005
None,44007
None,44009
None,51095
None,51510
None,51515
None,51520
None,51530
None,51540
None,51550
None,51570
None,51580
None,51590
None,51595
None,51600
None,51610
None,51630
None,51640
None,51650
None,51660
None,51670
None,51678
None,51680
None,51683
None,51685
None,51690
None,51700
None,51710
None,51720
None,51730
None,51735
None,51740
None,51750
None,51760
None,51770
None,51775
None,51790
None,51800
None,51810
None,51820
None,51830
None,51840
None,06045
None,16025
70.5,16033
None,21025
None,23027
None,23029
87.5,32003
117,32011
138,32027
183,32031
None,41055
None,47151
98.75,04015
None,18155
None,24009
None,26125
108.5,35023
385,41027
None,42033
None,51036
150.33,05041
None,13289
None,17069
None,22007
None,26131
None,28045
99.67,32005
117.5,32017
104.33,34001
358.67,53007
None,54079
None,54095
188,13307
None,18163
None,23005
None,24033
113,26121
None,26137
204.25,32019
None,33013
88.5,34015
None,36031
None,37093
None,42069
None,42079
None,09013
200,13095
174,13309
None,18067
None,22093
None,23017
None,26101
None,29510
292,36103
None,39049
None,48409
102,51001
119.5,04009
52.33,04011
805.33,06037
None,09001
None,09007
None,09009
None,09011
None,09015
159.4,13177
152.5,13299
None,18053
None,18167
92.1,20081
None,21145
None,21223
45.33,22099
None,23001
None,23007
None,23009
None,23011
None,23013
None,23015
None,23019
None,23021
None,23023
None,23025
None,23031
None,24017
None,26105
None,26165
131.67,28053
135.17,28055
144.17,32013
None,33001
None,33003
None,33005
None,33007
None,33009
None,33011
None,33015
None,33017
None,33019
273.5,36047
273.5,36059
273.5,36081
273.5,36085
81.5,37015
None,37053
None,37117
None,37177
None,42083
None,45043
161.5,47095
172.57,04012
109.29,04021
488,04027
1278.57,06059
297.14,06065
None,09003
None,09005
412.43,12086
174.86,12109
152.33,13017
175.86,13037
152.71,13061
151,13093
None,13173
145,13225
168.29,13273
None,17053
220,17091
271,17185
None,18035
215,18127
200.33,18149
None,18159
None,18183
None,21075
None,23003
None,24037
None,24039
None,24041
None,25003
470.67,25023
None,26011
None,26017
None,26049
None,26055
None,26089
None,27161
144.71,29143
155,31033
140.43,32001
231.71,35013
None,37029
None,37031
102.5,37041
71.5,37073
117.38,37091
None,37095
None,37137
None,37139
None,37165
None,37187
None,39039
None,39041
None,39161
None,39171
None,42003
None,42007
None,42017
None,42021
None,42031
None,42043
None,42105
68.79,45017
None,51057
None,51101
113.86,51131
None,51133
None,51149
None,51159
None,51181
None,51193
113.14,05035
127,05093
106,05107
261.63,06025
155,10001
130,10003
301,17007
None,17065
190,17093
200,17101
None,17147
None,17197
None,18001
None,18033
None,18059
None,18075
259.33,18089
220.29,18131
None,18169
None,21105
112.29,22035
133.75,24011
143.25,24019
117.67,24035
102,24047
186.33,26021
233,26037
None,26063
245,26091
105,26099
211,26115
None,26145
None,26147
186.5,26157
145,26161
125,27003
271.5,27037
None,27043
174,27093
None,27103
None,27167
125.88,28083
109.86,28119
121.29,28125
104.36,28143
133.25,29069
154.86,29133
156.8,29155
93.17,34005
109.29,34011
100.57,34033
None,34041
None,36037
70,36073
None,37013
None,39003
None,39011
None,39023
None,39033
None,39037
None,39051
None,39063
None,39065
None,39069
None,39077
None,39091
148,39095
None,39101
None,39103
None,39107
None,39109
None,39113
None,39123
None,39125
None,39137
None,39149
None,39173
None,42037
None,42077
None,42095
78.25,42107
None,55059
None,55069
None,55087
None,55115
None,55117
None,48301
46.83,48389
None,48475
None,48109
None,48103
None,48495
None,35031
107,35001
None,08093
None,35006
157.8,35029
None,35003
None,48377
121.67,04003
None,48461
38,48371
97,35049
77.75,48229
None,08119
152.57,48141
71.25,04017
None,35017
83.5,35045
86.42,04019
None,04023
95.25,35015
None,48003
None,48043
None,48443
74,35043
None,48329
92.5,35057
93.64,35035
162.67,35051
76.42,16023
None,35027
None,35025
115.7,35005
52.2,35055
None,35047
157,35011
None,48243
44.33,08103
None,08117
127,35061
66.9,35028
98.92,04005
98.92,04007
98.92,04025
75.64,49029
140.6,35053
99.86,49021
None,48383
None,48135
42.2,49015
57.67,49037
46.38,49007
114.8,08101
51.33,35019
