"States","%age of Persons 2011-12 Rural","%age of Persons 2011-12 Urban","%age of Persons 2011-12 Total","Number of Persons in Lakh 2011-12 Rural","Number of Persons in Lakh 2011-12 Urban","Number of Persons in Lakh 2011-12 Total"
"Andhra Pradesh","1096","581","920","6180","1698","7878"
"Arunachal Pradesh","3893","2033","3467","425","066","491"
"Assam","3389","2049","3198","9206","921","10127"
"Bihar","3406","3123","3374","32040","3775","35815"
"Chhattisgarh","4461","2475","3993","8890","1522","10411"
"Delhi","1292","984","991","050","1646","1696"
"Goa","681","409","509","037","038","075"
"Gujarat","2154","1014","1663","7535","2688","10223"
"Haryana","1164","1028","1116","1942","941","2883"
"Himachal Pradesh","848","433","806","529","030","559"
"Jammu & Kashmir","1154","720","1035","1073","253","1327"
"Jharkhand","4084","2483","3696","10409","2024","12433"
"Karnataka","2453","1525","2091","9280","3696","12976"
"Kerala","914","497","705","1548","846","2395"
"Madhya Pradesh","3574","2100","3165","19095","4310","23406"
"Maharashtra","2422","912","1735","15056","4736","19792"
"Manipur","3880","3259","3689","745","278","1022"
"Meghalaya","1253","926","1187","304","057","361"
"Mizoram","3543","636","2040","191","037","227"
"Nagaland","1993","1648","1888","276","100","376"
"Orissa","3569","1729","3259","12614","1239","13853"
"Punjab","766","924","826","1335","982","2318"
"Rajasthan","1605","1069","1471","8419","1873","10292"
"Sikkim","985","366","819","045","006","051"
"Tamil Nadu","1583","654","1128","5923","2340","8263"
"Tripura","1653","742","1405","449","075","524"
"Uttarakhand","1162","1048","1126","825","335","1160"
"Uttar Pradesh","3040","2606","2943","47935","11884","59819"
"West Bengal","2252","1466","1998","14114","4383","18498"
"Puducherry","1706","630","969","069","055","124"
"Andaman & Nicobar Islands","157","000","100","004","000","004"
"Chandigarh","164","2231","2181","000","234","235"
"Dadra & Nagar Haveli","6259","1538","3931","115","028","143"
"Daman & Diu","000","1262","986","000","026","026"
"Lakshadweep","000","344","277","000","002","002"
